method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.15,0.9,a0.15_sp0.9,100.0,0.1947,0.3227,645.03,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.15,1.0,a0.15_sp1.0,100.0,0.1939,0.3394,644.92,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.15_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-1.0,a0.20_sn1.0,40.0,0.6842,0.5954,754.95,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.9,a0.20_sn0.9,40.0,0.6214,0.5661,738.58,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.8,a0.20_sn0.8,100.0,0.5978,0.5563,736.7,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.7,a0.20_sn0.7,95.0,0.5265,0.524,720.04,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.6,a0.20_sn0.6,760.0,0.5151,0.5266,719.82,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.5,a0.20_sn0.5,100.0,0.4668,0.4865,715.19,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.4,a0.20_sn0.4,95.0,0.3756,0.3833,709.73,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,-0.3,a0.20_sn0.3,95.0,0.3128,0.3347,704.45,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sn0.3.wav
